Start Date,Start Date,Start Time,Distance,Duration,W° of Start,N° of Start,W° of Finish,N° of Finish
Tuesday,9-10-2018,10:44,5.62,0:10,-85.46479,31.31625,-85.43732,31.24991
Tuesday,9-10-2018,13:11,1.38,0:07,-85.43732,31.24991,-85.4427,31.26454
Tuesday,9-10-2018,13:24,0.5,0:03,-85.4427,31.26454,-85.447,31.26824
Tuesday,9-10-2018,14:21,4.23,0:19,-85.44683,31.26806,-85.45111,31.2279
Tuesday,9-10-2018,15:28,5.7,0:09,-85.45093,31.22768,-85.45074,31.23261
Tuesday,9-10-2018,15:40,1.06,0:04,-85.45074,31.23261,-85.43514,31.22886
Tuesday,9-10-2018,15:49,1.56,0:04,-85.43514,31.22886,-85.43726,31.24987
Tuesday,9-10-2018,16:11,3.38,0:10,-85.43726,31.24987,-85.43729,31.24988
Tuesday,9-10-2018,16:45,3.74,0:59,-85.43679,31.24962,-85.43733,31.24989
Tuesday,9-10-2018,17:48,0.11,0:02,-85.43733,31.24989,-85.43664,31.25045
Thursday,11-10-2018,11:40,0.07,0:02,-85.43692,31.25011,-85.43721,31.25026
Friday,12-10-2018,16:56,1.56,0:09,-85.43674,31.24958,-85.42915,31.24547
Friday,12-10-2018,18:28,0.4,0:04,-85.42894,31.24544,-85.4233,31.24627
Friday,12-10-2018,18:55,1.94,0:09,-85.42318,31.24623,-85.44476,31.2662
Friday,12-10-2018,19:45,6.11,0:16,-85.44476,31.2662,-85.48773,31.23607
Friday,12-10-2018,21:06,4.69,0:11,-85.48773,31.23607,-85.43718,31.25025
Saturday,13-10-2018,10:18,1.08,0:06,-85.43702,31.25019,-85.4269,31.2544
Saturday,13-10-2018,11:12,3.69,0:13,-85.4269,31.2544,-85.385,31.25156
Saturday,13-10-2018,11:40,3.91,0:11,-85.385,31.25156,-85.43718,31.25028
Saturday,13-10-2018,13:49,8.69,0:17,-85.43699,31.25015,-85.43728,31.24988
Saturday,13-10-2018,14:47,4.43,0:09,-85.43728,31.24988,-85.38096,31.26979
Saturday,13-10-2018,15:42,4.44,0:07,-85.38096,31.26979,-85.43728,31.24991
Saturday,13-10-2018,17:10,4.83,0:21,-85.43716,31.24971,-85.40367,31.20672
Saturday,13-10-2018,22:00,8.84,0:21,-85.40367,31.20672,-85.38278,31.26951
Saturday,13-10-2018,22:45,4.6,0:10,-85.38278,31.26951,-85.43719,31.25028
Sunday,14-10-2018,8:59,0.99,0:03,-85.43704,31.25016,-85.4368,31.24001
Sunday,14-10-2018,11:35,2.68,0:28,-85.4368,31.24001,-85.43715,31.25028
Monday,15-10-2018,7:32,5.53,0:12,-85.43661,31.24973,-85.46536,31.31447
Monday,15-10-2018,10:46,10.52,0:30,-85.46536,31.31447,-85.4373,31.2499
Monday,15-10-2018,12:23,5.68,0:14,-85.43733,31.25032,-85.46521,31.31444
